id	code	name	type	descp	record_time
400	600773	西藏城投	1		2015-11-15 19:57:33
401	600771	广誉远	1		2015-11-15 19:57:33
402	600770	综艺股份	1		2015-11-15 19:57:33
403	600769	祥龙电业	1		2015-11-15 19:57:33
404	600768	宁波富邦	1		2015-11-15 19:57:33
405	600767	运盛实业	1		2015-11-15 19:57:33
406	600766	园城黄金	1		2015-11-15 19:57:33
407	600765	中航重机	1		2015-11-15 19:57:33
408	600764	中电广通	1		2015-11-15 19:57:33
409	600763	通策医疗	1		2015-11-15 19:57:33
410	600761	安徽合力	1		2015-11-15 19:57:33
411	600760	中航黑豹	1		2015-11-15 19:57:33
412	600759	洲际油气	1		2015-11-15 19:57:33
413	600758	红阳能源	1		2015-11-15 19:57:33
414	600757	长江传媒	1		2015-11-15 19:57:33
415	600756	浪潮软件	1		2015-11-15 19:57:33
416	600755	厦门国贸	1		2015-11-15 19:57:33
417	600754	锦江股份	1		2015-11-15 19:57:33
418	600753	东方银星	1		2015-11-15 19:57:33
419	600751	天津海运	1		2015-11-15 19:57:33
420	600750	江中药业	1		2015-11-15 19:57:33
421	600749	西藏旅游	1		2015-11-15 19:57:33
422	600748	上实发展	1		2015-11-15 19:57:33
423	600747	大连控股	1		2015-11-15 19:57:33
424	600746	江苏索普	1		2015-11-15 19:57:33
425	600745	中茵股份	1		2015-11-15 19:57:33
426	600744	华银电力	1		2015-11-15 19:57:33
427	600743	华远地产	1		2015-11-15 19:57:33
428	600742	一汽富维	1		2015-11-15 19:57:33
429	600741	华域汽车	1		2015-11-15 19:57:33
430	600740	山西焦化	1		2015-11-15 19:57:33
431	600739	辽宁成大	1		2015-11-15 19:57:33
432	600738	兰州民百	1		2015-11-15 19:57:33
433	600737	中粮屯河	1		2015-11-15 19:57:33
434	600736	苏州高新	1		2015-11-15 19:57:33
435	600735	新华锦	1		2015-11-15 19:57:33
436	600734	实达集团	1		2015-11-15 19:57:33
437	600733	S前锋	1		2015-11-15 19:57:33
438	600732	上海新梅	1		2015-11-15 19:57:33
439	600731	湖南海利	1		2015-11-15 19:57:33
440	600730	中国高科	1		2015-11-15 19:57:33
441	600729	重庆百货	1		2015-11-15 19:57:33
442	600728	佳都科技	1		2015-11-15 19:57:33
443	600727	鲁北化工	1		2015-11-15 19:57:33
444	600726	华电能源	1		2015-11-15 19:57:33
445	600725	云维股份	1		2015-11-15 19:57:33
446	600724	宁波富达	1		2015-11-15 19:57:33
447	600723	首商股份	1		2015-11-15 19:57:33
448	600722	金牛化工	1		2015-11-15 19:57:33
449	600721	百花村	1		2015-11-15 19:57:33
450	600720	祁连山	1		2015-11-15 19:57:33
451	600719	大连热电	1		2015-11-15 19:57:33
452	600718	东软集团	1		2015-11-15 19:57:33
453	600717	天津港	1		2015-11-15 19:57:33
454	600716	凤凰股份	1		2015-11-15 19:57:33
455	600715	松辽汽车	1		2015-11-15 19:57:33
456	600714	金瑞矿业	1		2015-11-15 19:57:33
457	600713	南京医药	1		2015-11-15 19:57:33
458	600712	南宁百货	1		2015-11-15 19:57:33
459	600711	盛屯矿业	1		2015-11-15 19:57:33
460	600710	常林股份	1		2015-11-15 19:57:33
461	600708	海博股份	1		2015-11-15 19:57:33
462	600707	彩虹股份	1		2015-11-15 19:57:33
463	600706	曲江文旅	1		2015-11-15 19:57:33
464	600705	中航资本	1		2015-11-15 19:57:33
465	600704	物产中大	1		2015-11-15 19:57:33
466	600703	三安光电	1		2015-11-15 19:57:33
467	600702	沱牌舍得	1		2015-11-15 19:57:33
468	600701	工大高新	1		2015-11-15 19:57:33
469	600699	均胜电子	1		2015-11-15 19:57:33
470	600698	湖南天雁	1		2015-11-15 19:57:33
471	600697	欧亚集团	1		2015-11-15 19:57:33
472	600696	多伦股份	1		2015-11-15 19:57:33
473	600695	大江股份	1		2015-11-15 19:57:33
474	600694	大商股份	1		2015-11-15 19:57:33
475	600693	东百集团	1		2015-11-15 19:57:33
476	600692	亚通股份	1		2015-11-15 19:57:33
477	600691	阳煤化工	1		2015-11-15 19:57:33
478	600690	青岛海尔	1		2015-11-15 19:57:33
479	600689	三毛	1		2015-11-15 19:57:33
480	600688	上海石化	1		2015-11-15 19:57:33
481	600687	刚泰控股	1		2015-11-15 19:57:33
482	600686	金龙汽车	1		2015-11-15 19:57:33
483	600685	广船国际	1		2015-11-15 19:57:33
484	600684	珠江实业	1		2015-11-15 19:57:33
485	600683	京投银泰	1		2015-11-15 19:57:33
486	600682	南京新百	1		2015-11-15 19:57:33
487	600681	万鸿集团	1		2015-11-15 19:57:33
488	600680	上海普天	1		2015-11-15 19:57:33
489	600679	金山开发	1		2015-11-15 19:57:33
490	600678	四川金顶	1		2015-11-15 19:57:33
491	600677	航天通信	1		2015-11-15 19:57:33
492	600676	交运股份	1		2015-11-15 19:57:33
493	600675	中华企业	1		2015-11-15 19:57:33
494	600674	川投能源	1		2015-11-15 19:57:33
495	600673	东阳光科	1		2015-11-15 19:57:33
496	600671	天目药业	1		2015-11-15 19:57:33
497	600668	尖峰集团	1		2015-11-15 19:57:33
498	600667	太极实业	1		2015-11-15 19:57:33
499	600666	西南药业	1		2015-11-15 19:57:33
500	600665	天地源	1		2015-11-15 19:57:33
501	600664	哈药股份	1		2015-11-15 19:57:33
502	600663	陆家嘴	1		2015-11-15 19:57:33
503	600662	强生控股	1		2015-11-15 19:57:33
504	600661	新南洋	1		2015-11-15 19:57:33
505	600660	福耀玻璃	1		2015-11-15 19:57:33
506	600658	电子城	1		2015-11-15 19:57:33
507	600657	信达地产	1		2015-11-15 19:57:33
508	600656	博元投资	1		2015-11-15 19:57:33
509	600655	豫园商城	1		2015-11-15 19:57:33
510	600654	飞乐股份	1		2015-11-15 19:57:33
511	600653	申华控股	1		2015-11-15 19:57:33
512	600652	爱使股份	1		2015-11-15 19:57:33
513	600651	飞乐音响	1		2015-11-15 19:57:33
514	600650	锦江投资	1		2015-11-15 19:57:33
515	600649	城投控股	1		2015-11-15 19:57:33
516	600648	外高桥	1		2015-11-15 19:57:33
517	600647	同达创业	1		2015-11-15 19:57:33
518	600645	中源协和	1		2015-11-15 19:57:33
519	600644	乐山电力	1		2015-11-15 19:57:33
520	600643	爱建股份	1		2015-11-15 19:57:33
521	600642	申能股份	1		2015-11-15 19:57:33
522	600641	万业企业	1		2015-11-15 19:57:33
523	600640	号百控股	1		2015-11-15 19:57:33
524	600639	浦东金桥	1		2015-11-15 19:57:33
525	600638	新黄浦	1		2015-11-15 19:57:33
526	600637	百视通	1		2015-11-15 19:57:33
527	600636	三爱富	1		2015-11-15 19:57:33
528	600635	大众公用	1		2015-11-15 19:57:33
529	600634	中技控股	1		2015-11-15 19:57:33
530	600633	浙报传媒	1		2015-11-15 19:57:33
